Date,Population,T avg C,D.P avg C,humidity,Average wind speed(Kmh),Ppt avg (in),water consumption(m3)
9/8/year 1,2789,25.55555556,21.66666667,79.5,47.9341919,0.39,716.199572
9/9/year 1,2789,25,22.22222222,83.5,47.9905188,0.28,790.3178998
9/10/year 1,3554,26.66666667,22.77777778,78.5,47.9180985,0,949.380828
9/11/year 1,3554,28.88888889,22.77777778,64.5,47.7652112,0,1002.679401
9/12/year 1,3554,29.44444444,23.33333333,67.5,47.7410711,0,1130.929092
9/13/year 1,3554,30,24.44444444,70,47.6766975,0,1149.250476
9/14/year 1,3554,26.66666667,22.77777778,76,47.5881838,0,1158.411168
9/15/year 1,2789,28.88888889,23.33333333,70.5,47.5720904,0,1125.09956
9/16/year 1,2789,26.66666667,22.22222222,74.5,47.7008376,0.08,1134.260252
9/17/year 1,3554,22.22222222,21.11111111,91.5,47.8537249,0.94,1125.09956
9/18/year 1,3554,24.44444444,20,73.5,47.9100518,0,1113.440497
9/19/year 1,3554,25.55555556,18.33333333,63.5,47.9341919,0,1118.437239
9/20/year 1,3554,26.66666667,18.33333333,60.5,47.9341919,0,1093.453533
9/21/year 1,3554,26.66666667,18.88888889,61.5,47.8859117,0,1122.60119
9/22/year 1,2789,26.66666667,19.44444444,61.5,47.9663787,0,1120.935609
9/23/year 1,2789,26.66666667,17.77777778,60.5,47.9100518,0,1111.774917
9/24/year 1,3554,26.66666667,17.22222222,54,47.8698183,0,1127.597931
9/25/year 1,3554,26.66666667,18.88888889,60,47.958332,0,1130.929092
9/26/year 1,3554,26.66666667,15,49,48.119266,0,1155.912798
9/27/year 1,3554,26.11111111,14.44444444,48,48.1675462,0,1124.26677
9/28/year 1,3554,26.66666667,15.55555556,55,48.0951259,0,1133.427462
9/29/year 1,2789,26.66666667,16.11111111,51.5,48.0951259,0,1135.925833
9/30/year 1,2789,26.66666667,15,51.5,48.0870792,0,1133.427462
10/1/year 1,3554,26.66666667,15.55555556,54,48.0548924,0,1148.417686
10/2/year 1,3554,26.66666667,15.55555556,50.5,47.9502853,0,1145.086525
10/3/year 1,3554,26.66666667,16.11111111,48,47.8456782,0,1171.81152
10/4/year 1,3554,27.22222222,16.66666667,53.5,47.8376315,0,1160.076749
10/5/year 1,3554,26.66666667,16.11111111,48.5,47.9261452,0,937.5324947
10/6/year 1,2789,27.22222222,16.66666667,51.5,48.1112193,0,926.0627024
10/7/year 1,2789,27.22222222,15.55555556,47.5,48.1594995,0,1122.60119
10/8/year 1,3554,25.55555556,15.55555556,51.5,48.1031726,0,1145.086525
10/9/year 1,3554,25.55555556,14.44444444,49,48.0468457,0,1138.424203
